building_id,meter,warning_index,n_cycles,warning_ratio
0,0,1313,8757,0.14993719310266074
1,0,1313,8757,0.14993719310266074
2,0,1313,8757,0.14993719310266074
3,0,1313,8757,0.14993719310266074
4,0,1313,8757,0.14993719310266074
5,0,1313,8757,0.14993719310266074
6,0,1313,8757,0.14993719310266074
7,0,1313,8757,0.14993719310266074
7,1,1086,7244,0.14991717283268913
8,0,1313,8757,0.14993719310266074
9,0,1313,8757,0.14993719310266074
9,1,1086,7242,0.1499585749792875
10,0,1313,8757,0.14993719310266074
11,0,1313,8757,0.14993719310266074
12,0,1313,8757,0.14993719310266074
13,0,1313,8757,0.14993719310266074
13,1,1037,6917,0.14992048575972242
14,0,1313,8757,0.14993719310266074
14,1,1086,7246,0.14987579354126415
15,0,1313,8757,0.14993719310266074
15,1,1086,7246,0.14987579354126415
16,0,1313,8757,0.14993719310266074
17,0,1313,8757,0.14993719310266074
18,0,1313,8757,0.14993719310266074
19,0,1313,8757,0.14993719310266074
20,0,1313,8757,0.14993719310266074
21,0,1313,8757,0.14993719310266074
22,0,1313,8757,0.14993719310266074
23,0,1313,8757,0.14993719310266074
24,0,1313,8757,0.14993719310266074
25,0,1313,8757,0.14993719310266074
26,0,1313,8757,0.14993719310266074
27,0,1313,8757,0.14993719310266074
28,0,1313,8757,0.14993719310266074
28,1,927,6184,0.14990297542043984
29,0,568,3788,0.14994720168954592
29,1,1086,7246,0.14987579354126415
30,0,1313,8757,0.14993719310266074
30,1,1086,7246,0.14987579354126415
31,0,1313,8757,0.14993719310266074
31,1,1086,7245,0.14989648033126293
32,0,1313,8757,0.14993719310266074
33,0,1313,8757,0.14993719310266074
34,0,1313,8757,0.14993719310266074
35,0,1313,8757,0.14993719310266074
36,0,1313,8757,0.14993719310266074
37,0,1313,8757,0.14993719310266074
38,0,1313,8757,0.14993719310266074
39,0,1313,8757,0.14993719310266074
40,0,1260,8401,0.14998214498274015
41,0,1313,8757,0.14993719310266074
42,0,1313,8757,0.14993719310266074
43,0,1313,8757,0.14993719310266074
43,1,1084,7233,0.14986865754182221
44,0,1313,8757,0.14993719310266074
45,0,1313,8756,0.14995431703974418
46,0,1313,8757,0.14993719310266074
47,0,1313,8756,0.14995431703974418
48,0,1102,7348,0.14997278170930867
49,0,1313,8757,0.14993719310266074
50,0,1313,8757,0.14993719310266074
50,1,768,5124,0.14988290398126464
51,0,1313,8757,0.14993719310266074
52,0,1313,8757,0.14993719310266074
53,0,248,1658,0.14957780458383596
54,0,1313,8757,0.14993719310266074
55,0,1313,8757,0.14993719310266074
55,1,1086,7246,0.14987579354126415
56,0,1313,8757,0.14993719310266074
57,0,1313,8757,0.14993719310266074
58,0,1313,8757,0.14993719310266074
59,0,1313,8757,0.14993719310266074
60,0,1313,8757,0.14993719310266074
60,1,1086,7245,0.14989648033126293
61,0,1313,8757,0.14993719310266074
62,0,1313,8757,0.14993719310266074
63,0,1313,8757,0.14993719310266074
64,0,1313,8757,0.14993719310266074
65,0,1313,8757,0.14993719310266074
66,0,1313,8757,0.14993719310266074
67,0,1313,8757,0.14993719310266074
68,0,1313,8757,0.14993719310266074
69,0,1313,8757,0.14993719310266074
70,0,1313,8757,0.14993719310266074
71,0,1313,8757,0.14993719310266074
72,0,1313,8757,0.14993719310266074
73,0,1313,8757,0.14993719310266074
74,0,1313,8757,0.14993719310266074
75,0,1313,8757,0.14993719310266074
75,1,1080,7205,0.14989590562109645
76,0,1313,8757,0.14993719310266074
76,1,1086,7246,0.14987579354126415
77,0,1313,8757,0.14993719310266074
78,0,1313,8757,0.14993719310266074
78,1,1086,7245,0.14989648033126293
79,0,1313,8757,0.14993719310266074
80,0,1313,8757,0.14993719310266074
81,0,1313,8757,0.14993719310266074
82,0,1313,8757,0.14993719310266074
82,1,1086,7246,0.14987579354126415
83,0,1313,8757,0.14993719310266074
84,0,1313,8757,0.14993719310266074
85,0,1313,8757,0.14993719310266074
86,0,1313,8757,0.14993719310266074
87,0,1313,8757,0.14993719310266074
88,0,1313,8757,0.14993719310266074
89,0,1313,8757,0.14993719310266074
90,0,1313,8757,0.14993719310266074
91,0,1313,8757,0.14993719310266074
91,1,1086,7245,0.14989648033126293
92,0,1313,8757,0.14993719310266074
92,1,1086,7246,0.14987579354126415
93,0,1313,8757,0.14993719310266074
94,0,1313,8757,0.14993719310266074
95,0,1313,8757,0.14993719310266074
95,1,1083,7221,0.14997922725384297
96,0,1313,8757,0.14993719310266074
96,1,1036,6910,0.1499276410998553
97,0,1313,8757,0.14993719310266074
97,1,1046,6974,0.1499856610266705
98,0,1313,8757,0.14993719310266074
98,1,788,5256,0.14992389649923896
99,0,1313,8757,0.14993719310266074
100,0,1313,8757,0.14993719310266074
101,0,1313,8756,0.14995431703974418
102,0,1313,8757,0.14993719310266074
103,0,1303,8690,0.14994246260069044
103,1,1086,7243,0.14993787104790832
104,0,1313,8757,0.14993719310266074
105,0,1309,8728,0.14997708524289644
106,0,1309,8728,0.14997708524289644
106,3,1308,8724,0.1499312242090784
107,0,1309,8728,0.14997708524289644
108,0,1309,8728,0.14997708524289644
109,0,1309,8728,0.14997708524289644
109,3,1309,8728,0.14997708524289644
110,0,1309,8728,0.14997708524289644
111,0,1309,8728,0.14997708524289644
112,0,1309,8728,0.14997708524289644
112,3,1308,8723,0.1499484122434942
113,0,1309,8728,0.14997708524289644
113,3,1308,8724,0.1499312242090784
114,0,1309,8728,0.14997708524289644
114,3,1309,8728,0.14997708524289644
115,0,1309,8728,0.14997708524289644
116,0,1309,8728,0.14997708524289644
117,0,1309,8728,0.14997708524289644
117,3,1309,8728,0.14997708524289644
118,0,1309,8728,0.14997708524289644
119,0,1309,8728,0.14997708524289644
119,3,1309,8728,0.14997708524289644
120,0,1309,8728,0.14997708524289644
121,0,1309,8728,0.14997708524289644
121,3,1307,8714,0.14998852421390865
122,0,1309,8728,0.14997708524289644
123,0,1309,8728,0.14997708524289644
124,0,1309,8728,0.14997708524289644
125,0,1309,8728,0.14997708524289644
126,0,1309,8728,0.14997708524289644
127,0,1309,8728,0.14997708524289644
128,0,1309,8728,0.14997708524289644
129,0,1309,8728,0.14997708524289644
130,0,1309,8728,0.14997708524289644
131,0,1309,8728,0.14997708524289644
132,0,1309,8728,0.14997708524289644
133,0,1309,8728,0.14997708524289644
134,0,1309,8728,0.14997708524289644
135,0,1309,8728,0.14997708524289644
136,0,1309,8728,0.14997708524289644
137,0,1309,8728,0.14997708524289644
138,0,1309,8728,0.14997708524289644
138,3,1308,8724,0.1499312242090784
139,0,1309,8728,0.14997708524289644
139,3,1309,8727,0.14999427065429127
140,0,1309,8728,0.14997708524289644
141,0,1309,8728,0.14997708524289644
142,0,1309,8728,0.14997708524289644
143,0,1309,8728,0.14997708524289644
144,0,1309,8728,0.14997708524289644
144,3,1309,8727,0.14999427065429127
145,0,1309,8728,0.14997708524289644
145,3,1309,8728,0.14997708524289644
146,0,1309,8728,0.14997708524289644
147,0,1309,8728,0.14997708524289644
148,0,1309,8728,0.14997708524289644
149,0,1309,8728,0.14997708524289644
150,0,1309,8728,0.14997708524289644
151,0,1309,8728,0.14997708524289644
152,0,1308,8726,0.149896859958744
153,0,1309,8728,0.14997708524289644
154,0,1309,8728,0.14997708524289644
155,0,1309,8728,0.14997708524289644
156,0,1313,8756,0.14995431703974418
157,0,1313,8756,0.14995431703974418
158,0,1313,8756,0.14995431703974418
159,0,1311,8746,0.1498970958152298
160,0,1287,8583,0.14994757077944776
161,0,1313,8756,0.14995431703974418
161,1,1313,8756,0.14995431703974418
162,0,1313,8756,0.14995431703974418
