model_id,scenario_id,scenario_type,domain,variant,predicted_risk,predicted_unstable,first_alert_step,recommended_intervention,confidence,calibration_probability,intervention_effect,critical_step,actual_unstable
baseline_trend_extrapolation,helpful_intervention_case,helpful intervention,healthcare,base,0.23707142857142857,False,6,none,0.42292857142857143,0.23707142857142857,harmful,7,True
neraium_core,helpful_intervention_case,helpful intervention,healthcare,base,1.0,True,1,remove_top_driver_contribution,0.474557,1.0,helpful,7,True
neraium_full_stack,helpful_intervention_case,helpful intervention,healthcare,base,1.0,True,1,remove_top_driver_contribution,0.474557,1.0,helpful,7,True
baseline_threshold,neutral_intervention_case,neutral intervention,logistics,base,0.66,True,,suppress_subsystem_instability,0.66,0.66,neutral,9,True
baseline_anomaly_zscore,neutral_intervention_case,neutral intervention,logistics,base,0.8040760828328057,True,,remove_top_driver_contribution,0.8040760828328057,0.8040760828328057,neutral,9,True
baseline_trend_extrapolation,neutral_intervention_case,neutral intervention,logistics,base,0.727978021978022,True,,suppress_subsystem_instability,0.467978021978022,0.727978021978022,neutral,9,True
neraium_core,neutral_intervention_case,neutral intervention,logistics,base,1.0,True,1,remove_top_driver_contribution,0.481458,1.0,neutral,9,True
neraium_full_stack,neutral_intervention_case,neutral intervention,logistics,base,1.0,True,1,remove_top_driver_contribution,0.489572,1.0,neutral,9,True
baseline_threshold,harmful_intervention_case,harmful intervention,chemicals,base,0.95,True,5,remove_top_driver_contribution,0.95,0.95,harmful,7,True
baseline_anomaly_zscore,harmful_intervention_case,harmful intervention,chemicals,base,0.8925345796568946,True,4,remove_top_driver_contribution,0.8925345796568946,0.8925345796568946,harmful,7,True
baseline_trend_extrapolation,harmful_intervention_case,harmful intervention,chemicals,base,1.0,True,5,remove_top_driver_contribution,0.547956043956044,1.0,harmful,7,True
neraium_core,harmful_intervention_case,harmful intervention,chemicals,base,1.0,True,1,remove_top_driver_contribution,0.436986,1.0,harmful,7,True
neraium_full_stack,harmful_intervention_case,harmful intervention,chemicals,base,1.0,True,1,remove_top_driver_contribution,0.44426,1.0,harmful,7,True
baseline_threshold,sparse_data_cold_start,sparse-data / cold-start,satellite,base,0.73,True,5,suppress_subsystem_instability,0.73,0.73,helpful,5,True
baseline_anomaly_zscore,sparse_data_cold_start,sparse-data / cold-start,satellite,base,0.9098253400395362,True,4,remove_top_driver_contribution,0.9098253400395362,0.9098253400395362,neutral,5,True
baseline_trend_extrapolation,sparse_data_cold_start,sparse-data / cold-start,satellite,base,0.9288571428571428,True,4,remove_top_driver_contribution,0.598857142857143,0.9288571428571428,neutral,5,True
neraium_core,sparse_data_cold_start,sparse-data / cold-start,satellite,base,1.0,True,1,suppress_subsystem_instability,0.204506,1.0,helpful,5,True
neraium_full_stack,sparse_data_cold_start,sparse-data / cold-start,satellite,base,1.0,True,1,suppress_subsystem_instability,0.204506,1.0,helpful,5,True
baseline_threshold,cross_domain_transfer_case,cross-domain transfer case,aerospace,base,0.85,True,7,remove_top_driver_contribution,0.85,0.85,neutral,8,True
baseline_anomaly_zscore,cross_domain_transfer_case,cross-domain transfer case,aerospace,base,0.9089089201294235,True,4,remove_top_driver_contribution,0.9089089201294235,0.9089089201294235,neutral,8,True
baseline_trend_extrapolation,cross_domain_transfer_case,cross-domain transfer case,aerospace,base,0.44691176470588234,False,6,none,0.44691176470588234,0.44691176470588234,harmful,8,True
neraium_core,cross_domain_transfer_case,cross-domain transfer case,aerospace,base,1.0,True,1,suppress_subsystem_instability,0.490988,1.0,helpful,8,True
neraium_full_stack,cross_domain_transfer_case,cross-domain transfer case,aerospace,base,1.0,True,1,suppress_subsystem_instability,0.49511,1.0,helpful,8,True
baseline_threshold,stable_system_noise,stable system,manufacturing,noise,0.22192033936679162,False,,none,0.22192033936679162,0.22192033936679162,neutral,,False
baseline_anomaly_zscore,stable_system_noise,stable system,manufacturing,noise,1.0,True,8,remove_top_driver_contribution,1.0,1.0,neutral,,False
baseline_trend_extrapolation,stable_system_noise,stable system,manufacturing,noise,0.19386142471334866,False,,none,0.4008531669684343,0.19386142471334866,neutral,,False
neraium_core,stable_system_noise,stable system,manufacturing,noise,0.299104,False,14,none,0.059356,0.299104,neutral,,False
neraium_full_stack,stable_system_noise,stable system,manufacturing,noise,0.299104,False,14,none,0.059953,0.299104,neutral,,False
baseline_threshold,stable_system_missing,stable system,manufacturing,missing,0.22192033936679162,False,,none,0.22192033936679162,0.22192033936679162,neutral,,False
baseline_anomaly_zscore,stable_system_missing,stable system,manufacturing,missing,1.0,True,8,remove_top_driver_contribution,1.0,1.0,neutral,,False
baseline_trend_extrapolation,stable_system_missing,stable system,manufacturing,missing,0.19386142471334866,False,,none,0.4008531669684343,0.19386142471334866,neutral,,False
neraium_core,stable_system_missing,stable system,manufacturing,missing,0.299104,False,14,none,0.059356,0.299104,neutral,,False
neraium_full_stack,stable_system_missing,stable system,manufacturing,missing,0.299104,False,14,none,0.059953,0.299104,neutral,,False
baseline_threshold,slow_drift_noise,slow drift,manufacturing,noise,0.7015786725032133,True,17,suppress_subsystem_instability,0.7015786725032133,0.7015786725032133,helpful,14,True
baseline_anomaly_zscore,slow_drift_noise,slow drift,manufacturing,noise,1.0,True,8,remove_top_driver_contribution,1.0,1.0,helpful,14,True
baseline_trend_extrapolation,slow_drift_noise,slow drift,manufacturing,noise,0.7932343455629446,True,17,remove_top_driver_contribution,0.49165567305973135,0.7932343455629446,helpful,14,True
neraium_core,slow_drift_noise,slow drift,manufacturing,noise,1.0,True,1,remove_top_driver_contribution,0.594775,1.0,helpful,14,True
neraium_full_stack,slow_drift_noise,slow drift,manufacturing,noise,1.0,True,1,remove_top_driver_contribution,0.5957,1.0,helpful,14,True
baseline_threshold,slow_drift_missing,slow drift,manufacturing,missing,0.7015786725032133,True,17,suppress_subsystem_instability,0.7015786725032133,0.7015786725032133,helpful,14,True
baseline_anomaly_zscore,slow_drift_missing,slow drift,manufacturing,missing,1.0,True,8,remove_top_driver_contribution,1.0,1.0,helpful,14,True
baseline_trend_extrapolation,slow_drift_missing,slow drift,manufacturing,missing,0.7932343455629446,True,17,remove_top_driver_contribution,0.49165567305973135,0.7932343455629446,helpful,14,True
neraium_core,slow_drift_missing,slow drift,manufacturing,missing,1.0,True,1,remove_top_driver_contribution,0.594775,1.0,helpful,14,True
neraium_full_stack,slow_drift_missing,slow drift,manufacturing,missing,1.0,True,1,remove_top_driver_contribution,0.594775,1.0,helpful,14,True
baseline_threshold,cross_domain_transfer_case_noise,cross-domain transfer case,aerospace,noise,0.8712185878118417,True,7,remove_top_driver_contribution,0.8712185878118417,0.8712185878118417,neutral,8,True
baseline_anomaly_zscore,cross_domain_transfer_case_noise,cross-domain transfer case,aerospace,noise,0.923175999666453,True,4,remove_top_driver_contribution,0.923175999666453,0.923175999666453,neutral,8,True
baseline_trend_extrapolation,cross_domain_transfer_case_noise,cross-domain transfer case,aerospace,noise,0.4551461296281263,False,6,none,0.4424862762768879,0.4551461296281263,harmful,8,True
neraium_core,cross_domain_transfer_case_noise,cross-domain transfer case,aerospace,noise,1.0,True,1,suppress_subsystem_instability,0.491251,1.0,helpful,8,True
neraium_full_stack,cross_domain_transfer_case_noise,cross-domain transfer case,aerospace,noise,1.0,True,1,suppress_subsystem_instability,0.495374,1.0,helpful,8,True
baseline_threshold,cross_domain_transfer_case_missing,cross-domain transfer case,aerospace,missing,0.8712185878118417,True,7,remove_top_driver_contribution,0.8712185878118417,0.8712185878118417,neutral,8,True
baseline_anomaly_zscore,cross_domain_transfer_case_missing,cross-domain transfer case,aerospace,missing,0.923175999666453,True,4,remove_top_driver_contribution,0.923175999666453,0.923175999666453,neutral,8,True
baseline_trend_extrapolation,cross_domain_transfer_case_missing,cross-domain transfer case,aerospace,missing,0.4551461296281263,False,6,none,0.4424862762768879,0.4551461296281263,harmful,8,True
neraium_core,cross_domain_transfer_case_missing,cross-domain transfer case,aerospace,missing,1.0,True,1,suppress_subsystem_instability,0.491251,1.0,helpful,8,True
neraium_full_stack,cross_domain_transfer_case_missing,cross-domain transfer case,aerospace,missing,1.0,True,1,suppress_subsystem_instability,0.491251,1.0,helpful,8,True
